Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
2193,Nicolò Rovella,it ITA,MF,Juventus,it Serie A,21-105,2001,3,0,27,0.3,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,1,2,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.30,0.30,0.30,e58cbfd5
2194,Amir Rrahmani,xk KVX,DF,Napoli,it Serie A,29-023,1994,19,18,1656,18.4,2,1,3,2,0,0,1,0,1.5,1.5,0.7,2.2,11,77,2,0.11,0.05,0.16,0.11,0.16,0.08,0.04,0.12,0.08,0.12,4b3e1a38
2195,Ruan,br BRA,DF,Sassuolo,it Serie A,23-285,1999,13,11,929,10.3,0,0,0,0,0,0,5,1,0.4,0.4,0.0,0.4,2,7,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,a378a02a
2196,Rubén,es ESP,DFMF,Espanyol,es La Liga,22-043,2001,14,6,650,7.2,0,2,2,0,0,0,1,0,0.4,0.4,1.5,2.0,28,13,46,0.00,0.28,0.28,0.00,0.28,0.06,0.21,0.27,0.06,0.27,35d4f151
2197,Antonio Rüdiger,de GER,DF,Real Madrid,es La Liga,30-016,1993,22,16,1513,16.8,1,0,1,1,0,0,1,0,1.4,1.4,0.1,1.5,8,38,3,0.06,0.00,0.06,0.06,0.06,0.08,0.00,0.09,0.08,0.09,18b896d6
2198,Sebastian Rudy,de GER,MF,Hoffenheim,de Bundesliga,33-019,1990,15,4,541,6.0,0,1,1,0,0,0,2,0,0.1,0.1,0.4,0.5,5,29,4,0.00,0.17,0.17,0.00,0.17,0.02,0.07,0.08,0.02,0.08,80f36c88
2199,Daniele Rugani,it ITA,DF,Juventus,it Serie A,28-233,1994,5,4,355,3.9,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2,5,0,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,14b8fcdf
2200,Matteo Ruggeri,it ITA,DFMF,Atalanta,it Serie A,20-251,2002,14,7,739,8.2,0,1,1,0,0,0,3,0,0.6,0.6,0.9,1.5,19,48,59,0.00,0.12,0.12,0.00,0.12,0.07,0.11,0.18,0.07,0.18,ae9898c5
2201,Mário Rui,pt POR,DF,Napoli,it Serie A,31-296,1991,19,18,1495,16.6,0,6,6,0,0,0,2,1,0.5,0.5,3.5,4.1,46,131,81,0.00,0.36,0.36,0.00,0.36,0.03,0.21,0.24,0.03,0.24,0b5a292a
2202,Aitor Ruibal,es ESP,DFFW,Betis,es La Liga,26-362,1996,20,11,1084,12.0,0,0,0,0,0,0,3,0,0.6,0.6,1.5,2.1,29,44,50,0.00,0.00,0.00,0.00,0.00,0.05,0.13,0.18,0.05,0.18,a55d8df5
2203,Kays Ruiz,ma MAR,MF,Auxerre,fr Ligue 1,20-205,2002,1,1,62,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90a9cc01
2204,Fabián Ruiz Peña,es ESP,MF,Paris S-G,fr Ligue 1,26-350,1996,18,15,1269,14.1,1,1,2,1,0,0,0,0,1.4,1.4,1.2,2.7,18,82,53,0.07,0.07,0.14,0.07,0.14,0.10,0.09,0.19,0.10,0.19,c0c7ff58
2205,Víctor Ruiz,es ESP,DF,Betis,es La Liga,34-053,1989,9,5,552,6.1,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,4,10,0,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,b3dc6eca
2206,Gerónimo Rulli,ar ARG,GK,Villarreal,es La Liga,30-303,1992,14,14,1260,14.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,625c144a
2207,Franco Russo,ar ARG,DF,Mallorca,es La Liga,28-145,1994,3,2,145,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,b75ac54b
2208,Georginio Rutter,fr FRA,FWMF,Leeds United,eng Premier League,20-333,2002,7,1,188,2.1,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,5,1,12,0.00,0.00,0.00,0.00,0.00,0.14,0.07,0.21,0.14,0.21,c64c01fc
2209,Georginio Rutter,fr FRA,FW,Hoffenheim,de Bundesliga,20-333,2002,15,11,1009,11.2,2,2,4,2,0,0,2,0,3.0,3.0,2.3,5.4,32,25,75,0.18,0.18,0.36,0.18,0.36,0.27,0.21,0.48,0.27,0.48,c64c01fc
2210,Julian Ryerson,no NOR,DF,Union Berlin,de Bundesliga,25-122,1997,13,12,1037,11.5,0,0,0,0,0,0,2,0,0.7,0.7,0.5,1.2,19,32,32,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.10,0.06,0.10,009a4f60
2211,Julian Ryerson,no NOR,DF,Dortmund,de Bundesliga,25-122,1997,8,8,706,7.8,1,0,1,1,0,0,2,0,0.4,0.4,0.8,1.1,27,27,30,0.13,0.00,0.13,0.13,0.13,0.05,0.10,0.14,0.05,0.14,009a4f60
2212,Frederik Rønnow,dk DEN,GK,Union Berlin,de Bundesliga,30-227,1992,20,20,1800,20.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,a70b8345
2213,José Sá,pt POR,GK,Wolves,eng Premier League,30-061,1993,28,28,2520,28.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,903b6e8b
2214,Youssouf Sabaly,sn SEN,DF,Betis,es La Liga,30-014,1993,17,13,1185,13.2,0,0,0,0,0,0,1,0,0.3,0.3,0.5,0.7,31,59,40,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,fbbb9269
2215,Halid Šabanovi?,ba BIH,DFFW,Angers,fr Ligue 1,23-209,1999,7,4,333,3.7,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1,14,11,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,8299e363
2216,Abdelhamid Sabiri,ma MAR,MF,Sampdoria,it Serie A,26-111,1996,16,12,1006,11.2,2,0,2,1,1,2,4,0,2.9,1.2,1.4,2.6,7,47,53,0.18,0.00,0.18,0.09,0.09,0.26,0.13,0.39,0.11,0.24,4830e0af
2217,Marcel Sabitzer,at AUT,MF,Manchester Utd,eng Premier League,29-002,1994,5,3,275,3.1,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.7,1,23,6,0.00,0.00,0.00,0.00,0.00,0.07,0.15,0.21,0.07,0.21,e280527c
2218,Marcel Sabitzer,at AUT,MF,Bayern Munich,de Bundesliga,29-002,1994,15,7,628,7.0,1,1,2,1,0,0,2,0,1.1,1.1,0.4,1.4,7,52,19,0.14,0.14,0.29,0.14,0.29,0.15,0.05,0.20,0.15,0.20,e280527c
2219,Falaye Sacko,ml MLI,DF,Montpellier,fr Ligue 1,27-322,1995,24,19,1706,19.0,0,2,2,0,0,0,2,0,0.3,0.3,0.6,1.0,31,42,52,0.00,0.11,0.11,0.00,0.11,0.02,0.03,0.05,0.02,0.05,6388e356
2220,Umar Sadiq,ng NGA,FW,Almería,es La Liga,26-045,1997,3,3,240,2.7,2,0,2,2,0,0,1,0,1.5,1.5,0.2,1.6,5,2,7,0.75,0.00,0.75,0.75,0.75,0.55,0.06,0.61,0.55,0.61,686cbe7d
2221,Umar Sadiq,ng NGA,FW,Real Sociedad,es La Liga,26-045,1997,2,1,82,0.9,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.5,0,1,6,1.10,0.00,1.10,1.10,1.10,0.50,0.00,0.50,0.50,0.50,686cbe7d
2222,Alexis Saelemaekers,be BEL,FWDF,Milan,it Serie A,23-265,1999,19,10,872,9.7,0,2,2,0,0,0,1,0,0.8,0.8,1.5,2.3,30,28,90,0.00,0.21,0.21,0.00,0.21,0.08,0.15,0.23,0.08,0.23,ee251371
2223,Wesley Saïd,fr FRA,FWMF,Lens,fr Ligue 1,27-334,1995,17,6,597,6.6,5,0,5,5,0,0,2,0,3.1,3.1,0.9,4.0,15,24,56,0.75,0.00,0.75,0.75,0.75,0.47,0.13,0.60,0.47,0.60,90fcf472
2224,Allan Saint-Maximin,fr FRA,FW,Newcastle Utd,eng Premier League,26-007,1997,18,9,867,9.6,1,3,4,1,0,0,1,0,1.3,1.3,2.2,3.5,60,52,88,0.10,0.31,0.42,0.10,0.42,0.14,0.23,0.37,0.14,0.37,2b16cb1a
2225,Théo Sainte-Luce,fr FRA,DF,Montpellier,fr Ligue 1,24-150,1998,5,5,355,3.9,1,1,2,1,0,0,0,0,0.4,0.4,0.6,1.0,3,13,29,0.25,0.25,0.51,0.25,0.51,0.10,0.16,0.26,0.10,0.26,93c942fb
2226,Samuel Sáiz,es ESP,MF,Girona,es La Liga,32-056,1991,8,1,240,2.7,2,0,2,0,2,2,1,0,1.7,0.1,0.2,0.4,5,17,18,0.75,0.00,0.75,0.00,0.00,0.64,0.08,0.72,0.05,0.13,13e0eb29
2227,Bukayo Saka,eng ENG,FW,Arsenal,eng Premier League,21-195,2001,27,27,2313,25.7,10,9,19,8,2,2,5,0,8.5,7.1,6.2,13.3,127,77,388,0.39,0.35,0.74,0.31,0.66,0.33,0.24,0.57,0.28,0.52,bc7dc64d
2228,Hamza Sakhi,ma MAR,MF,Auxerre,fr Ligue 1,26-285,1996,23,18,1589,17.7,1,2,3,1,0,0,1,0,1.7,1.7,3.0,4.7,41,130,71,0.06,0.11,0.17,0.06,0.17,0.10,0.17,0.27,0.10,0.27,c9151d66
2229,Mamadou Sakho,fr FRA,DF,Montpellier,fr Ligue 1,33-034,1990,11,5,536,6.0,1,0,1,1,0,0,1,0,0.5,0.5,0.0,0.5,0,23,1,0.17,0.00,0.17,0.17,0.17,0.09,0.00,0.09,0.09,0.09,87935cf3
2230,Jacopo Sala,it ITA,MF,Spezia,it Serie A,31-104,1991,6,1,112,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,6,3,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,da5a981b
2231,Ibrahim Salah,be BEL,FWMF,Rennes,fr Ligue 1,21-201,2001,6,1,120,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,4,6,15,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.22,0.11,0.22,cad3fd4d
2232,Mohamed Salah,eg EGY,FW,Liverpool,eng Premier League,30-277,1992,26,26,2315,25.7,11,7,18,11,0,1,1,0,12.8,12.0,5.1,17.2,70,91,275,0.43,0.27,0.70,0.43,0.70,0.50,0.20,0.70,0.47,0.67,e342ad68
2233,Amine Salama,fr FRA,FWMF,Angers,fr Ligue 1,22-244,2000,25,12,1249,13.9,3,1,4,3,0,0,1,0,3.0,3.0,1.5,4.5,35,21,94,0.22,0.07,0.29,0.22,0.29,0.22,0.11,0.33,0.22,0.33,bc7cc472
2234,William Saliba,fr FRA,DF,Arsenal,eng Premier League,21-360,2001,27,27,2415,26.8,2,1,3,2,0,0,4,0,0.9,0.9,1.2,2.1,13,99,2,0.07,0.04,0.11,0.07,0.11,0.03,0.04,0.08,0.03,0.08,972aeb2a
2235,Dikeni Salifou,tg TOG,MF,Werder Bremen,de Bundesliga,19-284,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,e1830c52
2236,Mohammed Salisu,gh GHA,DF,Southampton,eng Premier League,23-336,1999,22,21,1972,21.9,0,1,1,0,0,0,5,0,1.5,1.5,0.6,2.1,5,82,4,0.00,0.05,0.05,0.00,0.05,0.07,0.03,0.10,0.07,0.10,0b33f6ad
2237,Roland Sallai,hu HUN,MFFW,Freiburg,de Bundesliga,25-301,1997,13,7,632,7.0,0,0,0,0,0,0,4,0,1.7,1.7,0.5,2.2,13,10,45,0.00,0.00,0.00,0.00,0.00,0.25,0.07,0.32,0.25,0.32,bf075f6b
2238,Yoann Salmier,gf GUF,DF,Troyes,fr Ligue 1,30-118,1992,25,25,2147,23.9,1,0,1,1,0,0,4,1,1.1,1.1,0.2,1.3,17,92,6,0.04,0.00,0.04,0.04,0.04,0.04,0.01,0.05,0.04,0.05,c3725db2
2239,Salvi,es ESP,FWMF,Rayo Vallecano,es La Liga,31-354,1991,15,3,316,3.5,0,0,0,0,0,0,2,0,0.2,0.2,0.5,0.8,17,9,34,0.00,0.00,0.00,0.00,0.00,0.06,0.15,0.21,0.06,0.21,405f267a
2240,Lazar Samardzic,de GER,MF,Udinese,it Serie A,21-023,2002,26,9,1049,11.7,4,3,7,4,0,0,0,0,2.0,2.0,2.6,4.6,22,68,38,0.34,0.26,0.60,0.34,0.60,0.17,0.23,0.40,0.17,0.40,217c93a1
2241,Diadie Samassékou,ml MLI,MFFW,Hoffenheim,de Bundesliga,27-067,1996,2,1,34,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,08593525
2242,Mama Samba Baldé,gw GNB,FW,Troyes,fr Ligue 1,27-133,1995,24,22,1859,20.7,10,3,13,9,1,1,5,2,7.8,7.0,1.9,9.0,37,37,119,0.48,0.15,0.63,0.44,0.58,0.38,0.09,0.47,0.34,0.43,fb14aa28
2243,Brice Samba,cg CGO,GK,Lens,fr Ligue 1,28-328,1994,28,28,2520,28.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60d90c55
2244,Albert Sambi Lokonga,be BEL,MF,Arsenal,eng Premier League,23-148,1999,6,2,198,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,12,2,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,1b4f1169
2245,Albert Sambi Lokonga,be BEL,MF,Crystal Palace,eng Premier League,23-148,1999,7,5,466,5.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,17,2,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,1b4f1169
2246,Junior Sambia,fr FRA,DF,Salernitana,it Serie A,26-193,1996,16,5,507,5.6,0,0,0,0,0,0,3,0,0.5,0.5,0.9,1.3,18,25,25,0.00,0.00,0.00,0.00,0.00,0.09,0.15,0.24,0.09,0.24,24eb7ed6
2247,Samuel,br BRA,FWMF,Valencia,es La Liga,23-086,1999,26,24,2077,23.1,2,1,3,2,0,0,3,0,5.3,5.2,1.2,6.5,98,66,182,0.09,0.04,0.13,0.09,0.13,0.23,0.05,0.28,0.23,0.28,2a295d33
2248,Fede San Emeterio,es ESP,MF,Cádiz,es La Liga,26-003,1997,22,15,1164,12.9,0,0,0,0,0,0,7,0,0.2,0.2,0.0,0.2,1,22,5,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,efecd633
2249,Antonio Sanabria,py PAR,FW,Torino,it Serie A,27-015,1996,21,16,1448,16.1,7,2,9,6,1,1,4,0,5.6,4.9,2.0,6.8,9,28,83,0.44,0.12,0.56,0.37,0.50,0.35,0.12,0.47,0.30,0.43,0a447501
2250,Leandro Sanca,pt POR,FWMF,Spezia,it Serie A,23-074,2000,4,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4295f19c
2251,Oihan Sancet,es ESP,MF,Athletic Club,es La Liga,22-328,2000,25,23,1746,19.4,8,0,8,7,1,1,2,1,4.8,4.0,2.0,6.0,61,96,101,0.41,0.00,0.41,0.36,0.36,0.25,0.10,0.35,0.21,0.31,bdb624a3
2252,Renato Sanches,pt POR,MF,Paris S-G,fr Ligue 1,25-213,1997,15,3,426,4.7,2,0,2,2,0,0,0,0,0.6,0.6,1.1,1.7,15,35,19,0.42,0.00,0.42,0.42,0.42,0.13,0.24,0.37,0.13,0.37,032f894e
2253,Alexis Sánchez,cl CHI,FW,Marseille,fr Ligue 1,34-090,1988,24,21,1802,20.0,10,1,11,8,2,3,2,0,9.2,6.9,4.1,10.9,24,89,155,0.50,0.05,0.55,0.40,0.45,0.46,0.20,0.66,0.34,0.55,2c0f8e9e
2254,Antonio Sánchez,es ESP,MF,Mallorca,es La Liga,26-077,1997,20,7,654,7.3,0,0,0,0,0,0,4,0,0.5,0.5,0.5,1.0,16,26,40,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.14,0.07,0.14,a254bbe0
2255,Davinson Sánchez,co COL,DF,Tottenham,eng Premier League,26-280,1996,13,6,573,6.4,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,4,25,3,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,da7b447d
2256,Iván Sánchez,es ESP,MFFW,Valladolid,es La Liga,30-177,1992,21,13,1034,11.5,1,0,1,1,0,0,0,0,0.7,0.7,1.4,2.1,48,54,48,0.09,0.00,0.09,0.09,0.09,0.07,0.12,0.19,0.07,0.19,70107d4d
2257,Javi Sánchez,es ESP,DF,Valladolid,es La Liga,26-005,1997,22,21,1775,19.7,1,0,1,1,0,0,10,0,0.6,0.6,0.1,0.7,17,56,4,0.05,0.00,0.05,0.05,0.05,0.03,0.01,0.04,0.03,0.04,60359288
2258,Manuel Sánchez,es ESP,DF,Osasuna,es La Liga,22-207,2000,19,11,1124,12.5,0,1,1,0,0,0,1,0,0.4,0.4,1.0,1.4,20,56,54,0.00,0.08,0.08,0.00,0.08,0.03,0.08,0.12,0.03,0.12,ffacd3d5
2259,Robert Sánchez,es ESP,GK,Brighton,eng Premier League,25-121,1997,22,22,1980,22.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6a713852
2260,Jadon Sancho,eng ENG,FWMF,Manchester Utd,eng Premier League,22-359,2000,14,12,923,10.3,4,1,5,4,0,0,0,0,2.6,2.6,1.6,4.2,42,43,80,0.39,0.10,0.49,0.39,0.49,0.26,0.15,0.41,0.26,0.41,dbf053da
2261,Alex Sandro,br BRA,DF,Juventus,it Serie A,32-052,1991,21,17,1455,16.2,0,1,1,0,0,0,4,1,0.2,0.2,0.7,0.9,40,83,20,0.00,0.06,0.06,0.00,0.06,0.01,0.05,0.06,0.01,0.06,0d82903c
2262,Leroy Sané,de GER,MFFW,Bayern Munich,de Bundesliga,27-067,1996,22,14,1399,15.5,7,4,11,7,0,0,4,0,5.2,5.2,2.9,8.1,49,101,128,0.45,0.26,0.71,0.45,0.71,0.33,0.19,0.52,0.33,0.52,2b114be3
2263,Sidi Sané,de GER,FW,Schalke 04,de Bundesliga,19-332,2003,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6a52a6c6
2264,Morgan Sanson,fr FRA,MF,Aston Villa,eng Premier League,28-213,1994,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6e7f1353
2265,Morgan Sanson,fr FRA,MF,Strasbourg,fr Ligue 1,28-213,1994,7,7,472,5.2,0,1,1,0,0,0,1,0,1.0,1.0,0.7,1.7,16,17,31,0.00,0.19,0.19,0.00,0.19,0.19,0.13,0.32,0.19,0.32,6e7f1353
2266,Nicola Sansone,it ITA,FW,Bologna,it Serie A,31-190,1991,11,5,431,4.8,1,0,1,1,0,0,2,0,1.6,1.6,0.0,1.6,14,6,42,0.21,0.00,0.21,0.21,0.21,0.34,0.01,0.34,0.34,0.34,7eb97a8e
2267,Baptiste Santamaria,fr FRA,MF,Rennes,fr Ligue 1,28-010,1995,15,14,1217,13.5,1,0,1,1,0,0,2,0,0.6,0.6,0.6,1.2,7,107,16,0.07,0.00,0.07,0.07,0.07,0.05,0.04,0.09,0.05,0.09,5e22e2a4
2268,Riccardo Saponara,it ITA,FW,Fiorentina,it Serie A,31-088,1991,21,9,846,9.4,2,2,4,2,0,0,3,0,1.4,1.4,2.9,4.4,39,41,93,0.21,0.21,0.43,0.21,0.43,0.15,0.31,0.47,0.15,0.47,3bb7af3b
2269,Pablo Sarabia,es ESP,FWMF,Wolves,eng Premier League,30-312,1992,8,6,515,5.7,1,0,1,1,0,0,2,0,2.7,2.7,0.7,3.4,9,26,37,0.17,0.00,0.17,0.17,0.17,0.48,0.12,0.60,0.48,0.60,9744ff80
2270,Pablo Sarabia,es ESP,FWMF,Paris S-G,fr Ligue 1,30-312,1992,14,3,370,4.1,0,0,0,0,0,0,1,0,1.3,1.3,1.3,2.7,9,18,37,0.00,0.00,0.00,0.00,0.00,0.32,0.33,0.64,0.32,0.64,9744ff80
2271,Muhammed Saracevic Cham,at AUT,MF,Clermont Foot,fr Ligue 1,22-174,2000,27,17,1447,16.1,4,2,6,3,1,1,2,0,3.8,3.0,2.0,5.0,49,70,89,0.25,0.12,0.37,0.19,0.31,0.24,0.12,0.36,0.19,0.31,f527a32c
2272,Jeremy Sarmiento,ec ECU,MF,Brighton,eng Premier League,20-276,2002,9,1,176,2.0,0,1,1,0,0,0,1,0,0.3,0.3,0.2,0.5,5,11,20,0.00,0.51,0.51,0.00,0.51,0.17,0.11,0.28,0.17,0.28,ac0d576d
2273,Amin Sarr,se SWE,FW,Lyon,fr Ligue 1,22-008,2001,8,4,412,4.6,1,0,1,1,0,0,0,0,1.2,1.2,0.1,1.3,9,7,32,0.22,0.00,0.22,0.22,0.22,0.26,0.02,0.28,0.26,0.28,d5326924
2274,Malang Sarr,fr FRA,DF,Monaco,fr Ligue 1,24-055,1999,13,8,716,8.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,5,59,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,4315f30d
2275,Martin Satriano,uy URU,FW,Empoli,it Serie A,22-027,2001,25,20,1617,18.0,2,1,3,2,0,0,3,0,3.6,3.6,1.2,4.8,28,21,120,0.11,0.06,0.17,0.11,0.17,0.20,0.07,0.26,0.20,0.26,86383d0e
2276,Téji Savanier,fr FRA,MF,Montpellier,fr Ligue 1,31-087,1991,22,22,1887,21.0,10,2,12,5,5,5,4,2,6.6,2.7,4.4,7.1,37,161,76,0.48,0.10,0.57,0.24,0.33,0.31,0.21,0.53,0.13,0.34,6bde367b
2277,Esteban Saveljich,me MNE,FW,Rayo Vallecano,es La Liga,31-303,1991,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79f2a5f5
2278,Stefan Savi?,me MNE,DF,Atlético Madrid,es La Liga,32-070,1991,18,18,1583,17.6,0,0,0,0,0,0,3,2,0.2,0.2,0.0,0.2,20,67,6,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,f6ac68c1
2279,Joe Scally,us USA,DF,M'Gladbach,de Bundesliga,20-078,2002,23,21,1884,20.9,0,0,0,0,0,0,1,0,0.5,0.5,1.8,2.3,24,52,53,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.11,0.02,0.11,236f02cd
2280,Giorgio Scalvini,it ITA,DF,Atalanta,it Serie A,19-098,2003,21,18,1479,16.4,2,0,2,2,0,0,6,0,1.0,1.0,0.1,1.2,12,106,17,0.12,0.00,0.12,0.12,0.12,0.06,0.01,0.07,0.06,0.07,1e9aa637
2281,Gianluca Scamacca,it ITA,FW,West Ham,eng Premier League,24-077,1999,16,11,926,10.3,3,0,3,3,0,0,3,0,2.5,2.5,0.7,3.1,13,17,48,0.29,0.00,0.29,0.29,0.29,0.24,0.07,0.31,0.24,0.31,8790f988
2282,Gustavo Scarpa,br BRA,MFFW,Nott'ham Forest,eng Premier League,29-073,1994,5,2,161,1.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.3,8,11,4,0.00,0.00,0.00,0.00,0.00,0.14,0.02,0.15,0.14,0.15,2964fd20
2283,Kevin Schade,de GER,FWMF,Brentford,eng Premier League,21-112,2001,8,1,192,2.1,0,1,1,0,0,0,1,0,0.5,0.5,0.5,1.0,8,3,16,0.00,0.47,0.47,0.00,0.47,0.25,0.23,0.48,0.25,0.48,52afb588
2284,Kevin Schade,de GER,FWMF,Freiburg,de Bundesliga,21-112,2001,8,1,182,2.0,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,7,3,20,0.49,0.00,0.49,0.49,0.49,0.12,0.00,0.12,0.12,0.12,52afb588
2285,András Schäfer,hu HUN,MF,Union Berlin,de Bundesliga,23-340,1999,13,9,754,8.4,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,14,22,17,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,049751d7
2286,Fabian Schär,ch SUI,DF,Newcastle Utd,eng Premier League,31-089,1991,24,24,2143,23.8,1,0,1,1,0,0,4,0,3.2,3.2,1.0,4.2,21,104,18,0.04,0.00,0.04,0.04,0.04,0.13,0.04,0.18,0.13,0.18,c8aa95da
2287,Derry Scherhant,de GER,FW,Hertha BSC,de Bundesliga,20-129,2002,7,1,187,2.1,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.3,3,1,10,0.48,0.00,0.48,0.48,0.48,0.10,0.05,0.15,0.10,0.15,93cba339
2288,Patrik Schick,cz CZE,FW,Leverkusen,de Bundesliga,27-054,1996,14,10,941,10.5,3,1,4,3,0,0,0,0,4.6,4.6,0.6,5.1,8,11,68,0.29,0.10,0.38,0.29,0.38,0.44,0.05,0.49,0.44,0.49,5d4f7d61
2289,Kingsley Schindler,de GER,DFMF,Köln,de Bundesliga,29-250,1993,20,4,703,7.8,0,0,0,0,0,0,3,0,0.9,0.9,0.5,1.4,9,32,40,0.00,0.00,0.00,0.00,0.00,0.12,0.06,0.18,0.12,0.18,bd527260
2290,Xaver Schlager,at AUT,MF,RB Leipzig,de Bundesliga,25-172,1997,19,16,1466,16.3,1,1,2,1,0,0,2,0,0.3,0.3,0.6,0.9,21,72,11,0.06,0.06,0.12,0.06,0.12,0.02,0.04,0.05,0.02,0.05,8f056768
2291,Keven Schlotterbeck,de GER,DF,Freiburg,de Bundesliga,25-325,1997,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,f6bdc830
2292,Keven Schlotterbeck,de GER,DF,Bochum,de Bundesliga,25-325,1997,7,6,557,6.2,1,0,1,1,0,0,3,0,1.0,1.0,0.3,1.2,0,17,2,0.16,0.00,0.16,0.16,0.16,0.16,0.04,0.20,0.16,0.20,f6bdc830
2293,Nico Schlotterbeck,de GER,DF,Dortmund,de Bundesliga,23-108,1999,25,25,2184,24.3,4,4,8,4,0,0,3,0,1.6,1.6,1.5,3.1,38,152,13,0.16,0.16,0.33,0.16,0.33,0.07,0.06,0.13,0.07,0.13,34e12499
