Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
174,Édgar Badía,es ESP,GK,Elche,es La Liga,31-035,1992,25,25,2250,25.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,e4346678
175,Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,21-358,2001,8,7,635,7.1,0,0,0,0,0,0,1,0,0.8,0.8,0.5,1.3,9,43,1,0.00,0.00,0.00,0.00,0.00,0.12,0.07,0.18,0.12,0.18,06df8256
176,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,21-358,2001,11,9,839,9.3,2,0,2,2,0,0,3,0,0.6,0.6,0.4,1.0,3,39,0,0.21,0.00,0.21,0.21,0.21,0.07,0.04,0.11,0.07,0.11,06df8256
177,Alex Baena,es ESP,MFFW,Villarreal,es La Liga,21-242,2001,23,12,1294,14.4,4,1,5,4,0,0,12,1,2.1,2.1,3.9,6.0,35,73,76,0.28,0.07,0.35,0.28,0.35,0.15,0.27,0.42,0.15,0.42,518f2234
178,Jaime Báez,uy URU,DF,Cremonese,it Serie A,27-328,1995,2,1,96,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,5,4,8,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.24,0.12,0.24,dfd24c07
179,Leon Bailey,jm JAM,FWMF,Aston Villa,eng Premier League,25-222,1997,26,21,1609,17.9,4,3,7,4,0,0,4,0,4.8,4.8,3.3,8.1,69,26,151,0.22,0.17,0.39,0.22,0.39,0.27,0.19,0.45,0.27,0.45,3a233281
180,Eric Bailly,ci CIV,DF,Marseille,fr Ligue 1,28-341,1994,10,4,432,4.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,3,6,3,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,a1232f4e
181,Dénys Bain,fr FRA,DF,Auxerre,fr Ligue 1,29-260,1993,2,1,126,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5065d67d
182,Brandon Baiye,be BEL,MF,Clermont Foot,fr Ligue 1,22-082,2000,7,0,51,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.21,0.00,0.21,7e3e825e
183,Stefan Bajcetic,es ESP,MF,Liverpool,eng Premier League,18-148,2004,11,6,526,5.8,1,0,1,1,0,0,2,0,0.8,0.8,0.4,1.2,10,24,1,0.17,0.00,0.17,0.17,0.17,0.13,0.06,0.20,0.13,0.20,32e8417f
184,Nedim Bajrami,al ALB,MFFW,Empoli,it Serie A,24-019,1999,19,8,941,10.5,1,1,2,1,0,0,1,0,1.2,1.2,1.2,2.4,22,29,47,0.10,0.10,0.19,0.10,0.19,0.12,0.11,0.23,0.12,0.23,f42d6c13
185,Nedim Bajrami,al ALB,FW,Sassuolo,it Serie A,24-019,1999,7,2,317,3.5,1,0,1,1,0,0,0,0,1.3,1.3,0.5,1.9,7,16,27,0.28,0.00,0.28,0.28,0.28,0.38,0.15,0.53,0.38,0.53,f42d6c13
186,Cédric Bakambu,cd COD,MF,Marseille,fr Ligue 1,31-342,1991,3,0,59,0.7,0,1,1,0,0,0,0,0,0.0,0.0,1.0,1.0,1,0,4,0.00,1.53,1.53,0.00,1.53,0.00,1.56,1.56,0.00,1.56,0af4dcf0
187,Tiemoué Bakayoko,fr FRA,MF,Milan,it Serie A,28-214,1994,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59bf127b
188,Mitchel Bakker,nl NED,DFMF,Leverkusen,de Bundesliga,22-272,2000,19,13,1148,12.8,3,2,5,3,0,0,4,1,1.3,1.3,1.7,2.9,20,45,50,0.24,0.16,0.39,0.24,0.39,0.10,0.13,0.23,0.10,0.23,a8567629
189,Ridle Baku,de GER,DFFW,Wolfsburg,de Bundesliga,24-345,1998,25,22,2016,22.4,5,1,6,5,0,0,4,0,2.5,2.5,2.9,5.5,41,106,113,0.22,0.04,0.27,0.22,0.27,0.11,0.13,0.24,0.11,0.24,442b56fa
190,Tommaso Baldanzi,it ITA,MF,Empoli,it Serie A,19-361,2003,18,16,1158,12.9,4,0,4,4,0,0,1,0,1.4,1.4,0.9,2.3,39,54,59,0.31,0.00,0.31,0.31,0.31,0.11,0.07,0.18,0.11,0.18,102e2599
191,Alejandro Balde,es ESP,DF,Barcelona,es La Liga,19-152,2003,22,19,1570,17.4,0,4,4,0,0,0,2,0,0.4,0.4,3.3,3.8,57,51,132,0.00,0.23,0.23,0.00,0.23,0.02,0.19,0.22,0.02,0.22,5ccc9672
192,Thierno Balde,fr FRA,DF,Troyes,fr Ligue 1,20-282,2002,22,18,1537,17.1,0,0,0,0,0,0,1,0,0.2,0.2,0.7,1.0,42,45,80,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.06,0.01,0.06,3975195f
193,Carlos Baleba,cm CMR,MF,Lille,fr Ligue 1,19-075,2004,13,3,288,3.2,0,0,0,0,0,0,2,1,0.3,0.3,0.1,0.3,12,21,6,0.00,0.00,0.00,0.00,0.00,0.08,0.03,0.10,0.08,0.10,a1390d2f
194,Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,35-018,1988,3,1,115,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,6,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,1fe67e86
195,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,24-052,1999,27,24,2063,22.9,0,1,1,0,0,0,5,1,0.5,0.5,0.1,0.7,11,71,13,0.00,0.04,0.04,0.00,0.04,0.02,0.01,0.03,0.02,0.03,7c3ed041
196,Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,31-077,1992,25,25,2181,24.2,0,0,0,0,0,0,5,0,0.3,0.3,2.3,2.6,53,95,101,0.00,0.00,0.00,0.00,0.00,0.01,0.09,0.11,0.01,0.11,cee88597
197,Fodé Ballo-Touré,sn SEN,DF,Milan,it Serie A,26-075,1997,4,3,286,3.2,1,0,1,1,0,0,0,0,0.4,0.4,0.1,0.5,8,13,21,0.31,0.00,0.31,0.31,0.31,0.14,0.02,0.16,0.14,0.16,f449640d
198,Folarin Balogun,eng ENG,FW,Reims,fr Ligue 1,21-259,2001,26,23,2029,22.5,16,1,17,12,4,5,3,0,17.6,13.6,2.1,15.7,39,38,193,0.71,0.04,0.75,0.53,0.58,0.78,0.09,0.88,0.60,0.70,31822f8c
